date,store,item,sales
2022-01-01,Store A,Item 1,52
2022-01-02,Store A,Item 1,49
2022-01-03,Store A,Item 1,53
2022-01-04,Store A,Item 1,58
2022-01-05,Store A,Item 1,50
2022-01-06,Store A,Item 1,50
2022-01-07,Store A,Item 1,59
2022-01-08,Store A,Item 1,56
2022-01-09,Store A,Item 1,50
2022-01-10,Store A,Item 1,55
2022-01-11,Store A,Item 1,51
2022-01-12,Store A,Item 1,51
2022-01-13,Store A,Item 1,55
2022-01-14,Store A,Item 1,44
2022-01-15,Store A,Item 1,46
2022-01-16,Store A,Item 1,52
2022-01-17,Store A,Item 1,50
2022-01-18,Store A,Item 1,57
2022-01-19,Store A,Item 1,51
2022-01-20,Store A,Item 1,49
2022-01-21,Store A,Item 1,64
2022-01-22,Store A,Item 1,55
2022-01-23,Store A,Item 1,57
2022-01-24,Store A,Item 1,50
2022-01-25,Store A,Item 1,55
2022-01-26,Store A,Item 1,58
2022-01-27,Store A,Item 1,52
2022-01-28,Store A,Item 1,60
2022-01-29,Store A,Item 1,56
2022-01-30,Store A,Item 1,58
2022-01-31,Store A,Item 1,56
2022-02-01,Store A,Item 1,69
2022-02-02,Store A,Item 1,60
2022-02-03,Store A,Item 1,55
2022-02-04,Store A,Item 1,65
2022-02-05,Store A,Item 1,55
2022-02-06,Store A,Item 1,62
2022-02-07,Store A,Item 1,52
2022-02-08,Store A,Item 1,55
2022-02-09,Store A,Item 1,63
2022-02-10,Store A,Item 1,66
2022-02-11,Store A,Item 1,63
2022-02-12,Store A,Item 1,62
2022-02-13,Store A,Item 1,62
2022-02-14,Store A,Item 1,56
2022-02-15,Store A,Item 1,60
2022-02-16,Store A,Item 1,61
2022-02-17,Store A,Item 1,69
2022-02-18,Store A,Item 1,66
2022-02-19,Store A,Item 1,56
2022-02-20,Store A,Item 1,66
2022-02-21,Store A,Item 1,63
2022-02-22,Store A,Item 1,62
2022-02-23,Store A,Item 1,68
2022-02-24,Store A,Item 1,71
2022-02-25,Store A,Item 1,70
2022-02-26,Store A,Item 1,62
2022-02-27,Store A,Item 1,65
2022-02-28,Store A,Item 1,68
2022-03-01,Store A,Item 1,71
2022-03-02,Store A,Item 1,64
2022-03-03,Store A,Item 1,66
2022-03-04,Store A,Item 1,62
2022-03-05,Store A,Item 1,61
2022-03-06,Store A,Item 1,71
2022-03-07,Store A,Item 1,74
2022-03-08,Store A,Item 1,67
2022-03-09,Store A,Item 1,73
2022-03-10,Store A,Item 1,70
2022-03-11,Store A,Item 1,65
2022-03-12,Store A,Item 1,70
2022-03-13,Store A,Item 1,76
2022-03-14,Store A,Item 1,68
2022-03-15,Store A,Item 1,76
2022-03-16,Store A,Item 1,56
2022-03-17,Store A,Item 1,73
2022-03-18,Store A,Item 1,69
2022-03-19,Store A,Item 1,67
2022-03-20,Store A,Item 1,69
2022-03-21,Store A,Item 1,59
2022-03-22,Store A,Item 1,68
2022-03-23,Store A,Item 1,71
2022-03-24,Store A,Item 1,77
2022-03-25,Store A,Item 1,67
2022-03-26,Store A,Item 1,65
2022-03-27,Store A,Item 1,67
2022-03-28,Store A,Item 1,74
2022-03-29,Store A,Item 1,71
2022-03-30,Store A,Item 1,67
2022-03-31,Store A,Item 1,72
2022-04-01,Store A,Item 1,70
2022-04-02,Store A,Item 1,74
2022-04-03,Store A,Item 1,66
2022-04-04,Store A,Item 1,68
2022-04-05,Store A,Item 1,68
2022-04-06,Store A,Item 1,62
2022-04-07,Store A,Item 1,71
2022-04-08,Store A,Item 1,71
2022-04-09,Store A,Item 1,69
2022-04-10,Store A,Item 1,68
2022-04-11,Store A,Item 1,62
2022-04-12,Store A,Item 1,67
2022-04-13,Store A,Item 1,67
2022-04-14,Store A,Item 1,65
2022-04-15,Store A,Item 1,68
2022-04-16,Store A,Item 1,71
2022-04-17,Store A,Item 1,78
2022-04-18,Store A,Item 1,70
2022-04-19,Store A,Item 1,70
2022-04-20,Store A,Item 1,68
2022-04-21,Store A,Item 1,59
2022-04-22,Store A,Item 1,68
2022-04-23,Store A,Item 1,69
2022-04-24,Store A,Item 1,80
2022-04-25,Store A,Item 1,67
